Resolution,MeetingType,MeetingDate,Result,VoteCount,YesCount,NoCount,PrimaryDomain,SecondaryDomain,VoteType,DirectionOfYes,Confidence,Notes
"That with respect to Report C2023-1148, the following amendments be adopted: That Council delete Recommendation 2 and Recommendation 3 in their entirety, insert a new Recommendation 2 as follows, and renumber the remaining recommendations accordingly: 2. Direct Administration to: a. Provide a rebate funded from the 2023 Operating Variance to offset the effect of the tax share shift for 2024 for the residential portion of property taxes; b. Return to Council prior to budget finalization with Investments in Attachment 5, not including those related to affordable housing or public safety, that can be delayed or cancelled to maintain the level of property tax revenues for 2024 approved in the 2023-2026 Service Plans and Budgets; and c. Implement the budgetary changes and relevant performance measures necessary to effect those adjustments.",Regular Meeting of Council,2023/11/22,MOTION DEFEATED,15,6,9,,,,,,
"That with respect to Report C2023-1148, the following amendments be adopted: That Council delete Recommendation 2 and Recommendation 3 in their entirety, insert a new Recommendation 2 as follows, and renumber the remaining recommendations accordingly: 2. Direct Administration to: a. Provide a rebate funded from the 2023 Operating Variance to offset the effect of the tax share shift for 2024 for the residential portion of property taxes; b. Return to Council prior to budget finalization with Investments in Attachment 5, not including those related to affordable housing or public safety, that can be delayed or cancelled to maintain the level of property tax revenues for 2024 approved in the 2023-2026 Service Plans and Budgets; and c. Implement the budgetary changes and relevant performance measures necessary to effect those adjustments.",Regular Meeting of Council,2023/11/07,MOTION DEFEATED,15,6,9,,,,,,
"That with respect to Report C2023-0415, the following amendment be adopted: That Council replace the recommendations in their entirety with the following: Receive the Housing and Affordability Task Force Recommendations and Actions (Recommendations) for information (Attachment 2); Disband the Housing and Affordability Task Force and thank its members for their time and professional advice; Direct Administration to incorporate the Housing and Affordability Task Force Recommendations and Actions into the revisions presently underway on the Corporate Affordable Housing Strategy, which is scheduled to return to Community Development Committee in September 2023; Direct Administration, as part of the September 2023 Committee presentation, to clearly identify which Housing and Affordability Task Force Recommendations and Actions were incorporated into the Corporate Affordable Housing Strategy, the corporate-wide implications (including but not limited to changes to base land use district, parking requirements, or funding for the downtown incentive program), and the decisions required from Council as a result; Direct Administration to bring forward specific actions for further consideration and deliberation through committee to Council, including those that require additional budget resources to the monthly standing Executive Committee item Strategic Discussion on Building and Delivering on Plans and Budgets. Direct Administration to report on the status of the implementation of the updated Corporate Affordable Housing Strategy on a quarterly basis, through Community Development Committee to Council, commencing in Q4 2023.",Regular Meeting of Council,2023/06/06,MOTION CARRIED,15,14,1,,,,,,
"That with respect to Report C2023-0415, the following be adopted, as amended: That Council: Receive the Housing and Affordability Task Force Recommendations and Actions (Recommendations) for information (Attachment 2); Disband the Housing and Affordability Task Force and thank its members for their time and professional advice; Direct Administration to incorporate the Housing and Affordability Task Force Recommendations and Actions into the revisions presently underway on the Corporate Affordable Housing Strategy, which is scheduled to return to Community Development Committee in September 2023; Direct Administration, as part of the September 2023 Committee presentation, to clearly identify which Housing and Affordability Task Force Recommendations and Actions were incorporated into the Corporate Affordable Housing Strategy, the corporate-wide implications (including but not limited to changes to base land use district, parking requirements, or funding for the downtown incentive program), and the decisions required from Council as a result; Direct Administration to bring forward specific actions for further consideration and deliberation through committee to Council, including those that require additional budget resources to the monthly standing Executive Committee item Strategic Discussion on Building and Delivering on Plans and Budgets. Direct Administration to report on the status of the implementation of the updated Corporate Affordable Housing Strategy on a quarterly basis, through Community Development Committee to Council, commencing in Q4 2023.",Regular Meeting of Council,2023/06/06,MOTION CARRIED,15,14,1,,,,,,
"That with respect to Confidential Verbal Report EC2024-0809, the following be adopted: That Council: Confirm direction to phase construction by ""Building the Core from Eau Claire to Lynnwood/Millican as set out in EC2024-0871. To support ""Building the Core, recognizing that, at a minimum, written confirmation of funding commitments from the Government of Canada and Government of Alberta are expected, including: Grant Agreement Public Transit and Green Infrastructure Project amendments with respect to original funding continuation with a revised Phase 1 Program scope, and Procurement waivers. ; ; ; ; ; ; ; ; ; ; ; Approve the following, in reference to Attachment 4: a) An increase in budget for Budget ID: 869-000 of $503 million for the Green Line Stage 1 Program. b) Additional capital budget allocated to City service lines. The approved funding to be distributed to the appropriate budget identifier for the Services by the Chief Financial Officer: $69 million for Public Transit Service $121 million for Streets Service $5 million for Waste & Recycling Service $7 million for Planning & Development Services for related increases to capital costs for a revised cost, including financing costs of $451 million, for Building the Core of Green Line Stage 1 of $6,248 million. c) Increase in the incremental municipal funding consisting of the following sources: Incremental $8 million per year in each year of 2025-2031, (to be funded through other reductions or efficiencies, other revenues, tax revenues, or any source) to be transferred to the Green Line Fund at the beginning of each year as part of the municipal funding for the Green Line program. This funding stream will build to the projected amount of Green Line program operating costs in 2032 and in the meantime, will provide capital to contribute to this project, as shown in Table 13 in Attachment 4; Allocation of $16 million in each year 2025-2031 in tax growth recognizing the increase in development and redevelopment of properties in Calgary in 2024; $208 million from the Reserve for Future Capital for capital cost escalations on existing capital projects per report C2024-0552 to be transferred to the Green Line Fund; A transfer of $4 million per year in each of 2024-2031 from the Public Transit operating budget to the Green Line Fund.",Regular Meeting of Council,2024/07/30,MOTION CARRIED,15,10,5,,,,,,
"That with respect to Notice of Motion EC2025-0995, the following be adopted, as amended: BE IT RESOLVED that Administration be directed to prepare an amending bylaw to restore both the Land Use Bylaw Districts in Bylaw 1P2007 and the land use designation of affected parcels to their original state prior to third reading of bylaw amendment 21P2024 Citywide rezoning, AND FURTHER BE IT RESOLVED that the amending bylaw exempts parcels of land that: ; ; received a decision of approval on any one of development permit, subdivision or building permit under the R-CG, R-G or H-GO land use districts prior to the effective date of the amending bylaw, or are included in an application or permit submitted (any one of development permit, subdivision application or building permit) prior to first reading of the amending bylaw, or have received approval of a land use redesignation by Bylaw, through an applicant-initiated land use redesignation after August 6, 2024. AND FURTHER BE IT RESOLVED that Administration report back no later than ;Q1 2026 ;with: Updated infrastructure capacity assessments; Revised parking including private lots and public parking strategy; AND FURTHER BE IT RESOLVED that Administration be directed to bring back the amended bylaw direct to the March 2026 Public Hearing of Council.",Regular Meeting of Council,2025/12/15,MOTION CARRIED,15,13,2,,,,,,
"That with respect to Report CPC2021-0444, the following be adopted: That Council: Give three readings to Proposed Bylaw 20P2021 for the amendment to the Bowness Area Redevelopment Plan (Attachment 6); Give three readings to Proposed Bylaw 5C2021 for the closure of 4.46 hectares ± (11.02 acres ±) of roads and lanes (Plan 8167GK, Plan 2110547, Area 'A') adjacent to Bowfort Road NW, 44 Avenue NW, 46 Avenue NW, 47 Avenue NW and Stoney Trail NW, with conditions (Attachment 11); Give three readings to Proposed Bylaw 65D2021 for the redesignation of 17.64 hectares ± (43.58 acres ±) located at 9620, 9720, 9723, 9771, 9830, 9845, 9860, 9930 and 10035 44 Avenue NW, 9723, 9819, 9980, 10034 and 10037 46 Avenue NW, and 9620, 9623, 9723, 9730, 9875 and 10025 47 Avenue NW and the closed road (Portion of Plan 5565AH, Block 57; Portion of Plan 8167GK, Lots 3, 4, 7 to 11, 14 to 18 and 21 to 27; Plan 8310052, Lot 1; Plan 8310053, Block RW, Lot 24; Portion of Plan 2110547, Area 'A') from Residential Contextual One Dwelling (R-C1) District, Residential Contextual One / Two Dwelling (R-C2) District, Special Purpose Future Urban Development (S-FUD) District, Special Purpose School, Park and Community Reserve (S-SPR) District, Direct Control District and Undesignated Road Right-of-Way to Special Purpose City and Regional Infrastructure (S-CRI) District, Special Purpose School, Park and Community Reserve (S-SPR) District, Special Purpose Urban Nature (S-UN) District and Direct Control District to accommodate low-density residential development, open space and utilities, with guidelines (Attachment 7); Give three readings to Proposed Bylaw 66D2021 for the redesignation of 2.86 hectares ± (7.06 acres ±) located at 9723, 9819, 9861, 9980 and 10034 46 Avenue NW (Portion of Plan 8167GK, Lots 9, 15, 16, 17 and 24; Portion of Plan 8310053, Block RW, Lot 24; Portion of Plan 2110547, Area 'A') from Residential Contextual One Dwelling (R-C1) District, Special Purpose Future Urban Development (S-FUD) District, Special Purpose School, Park and Community Reserve (S-SPR) District and Undesignated Road Right-of-Way to Direct Control District to accommodate rowhouses facing park space, with guidelines (Attachment 8); and Give three readings to Proposed Bylaw 67D2021 for the redesignation of 5.65 hectares ± (13.97 acres ±) located at 9723 and 9771 44 Avenue NW, 9980 and 10034 46 Avenue NW, and 9620, 9623, 9723, 9730 and 10025 47 Avenue NW and the closed road (Portion of Plan 5565AH, Block 57; Portion of Plan 8167GK, Lots 3, 4, 7, 8, 9, 10, 11, 14, 18, 26 and 27; Portion of Plan 8310053, Block RW, Lot 24; Portion of Plan 2110547, Area 'A') from Direct Control District, Multi-Residential Contextual Medium Profile (M-C2) District, Residential Contextual One Dwelling (R-C1) District, Residential Contextual One / Two Dwelling (R-C2) District, Special Purpose Future Urban Development (S-FUD), Special Purpose School, Park and Community Reserve (S-SPR) District and Undesignated Road Right-of-Way to Multi-Residential Medium Profile (M-2) District and Direct Control District to accommodate multi-residential development with increased height and density, with guidelines (Attachment 9).",Combined Meeting of Council,2021/05/10,MOTION CARRIED,14,14,0,,,,,,
"That with respect to Report CPC2021-0191, the following be adopted: That Council: Give three readings to Proposed Bylaw 17P2021 for the amendments to the Shaganappi Point Area Redevelopment Plan (Attachment 10); Give three readings to Proposed Bylaw 56D2021 for the redesignation of 0.88 hectares ± (2.17 acres ±) located at 2500 Bow Trail SW (Portion of Plan 574JK, Block 2, Lot A) from Direct Control District, Multi-Residential Contextual Medium Profile (M-C2f1.5d165) District, and Special Purpose School, Park and Community Reserve (S-SPR) District to Direct Control District to accommodate a variety of low-density grade-oriented residential building forms, with guidelines (Attachment 7); Give three readings to Proposed Bylaw 57D2021 for the redesignation of 3.91 hectares ± (9.67 acres ±) located at 1199 - 24 Street SW, 1200 - 26 Street SW, and 2500 Bow Trail SW (Plan 1510643, Block 2, Lot 1; Portion of Plan 574JK, Block 2, Lots A and B) from Direct Control District, Multi-Residential Contextual Medium Profile (M-C2f1.5d140) District, Multi-Residential Contextual Medium Profile (M-C2f1.5d165) District, and Special Purpose School, Park and Community Reserve (S-SPR) District to Special Purpose City and Regional Infrastructure (S-CRI) District, Special Purpose School Park and Community Reserve (S-SPR) District, and Direct Control District to accommodate a variety of medium-density grade-oriented residential building forms, with guidelines (Attachment 8); and Give three readings to Proposed Bylaw 58D2021 for the redesignation of 0.57 hectares ± (1.40 acres ±) located at 2500 Bow Trail SW (Portion of Plan 574JK, Block 2, Lot A) from Direct Control District, Multi-Residential Contextual Medium Profile (M-C2f1.5d140) District, and Special Purpose School, Park and Community Reserve (S-SPR) District to Direct Control District to accommodate mid-rise multi-residential development, with guidelines (Attachment 9).",Combined Meeting of Council,2021/04/12,MOTION CARRIED,14,14,0,,,,,,
"That with respect to report CPC2021-0066, the following Motion Arising be adopted: That Council directs Administration to prepare a bylaw, including the required advertising, with the following amendments to the Winston Heights/Mountview Area Redevelopment Plan, to return directly to the 2021 April 12 Meeting of Council: The Winston Heights/Mountview Area Redevelopment Plan attached to and forming part of Bylaw 20P2006, as amended, is hereby further amended as follows: (a) In Section 2: Land Use Policies, after 2.17.4 add the following: Commercial Uses 2.17.5 Commercial uses, particularly those uses that generate frequent activity in and out of a building or business entrance such as retail and restaurants, should be provided along the frontages as generally shown on Map 9: Residential Policy Area 6. Non Market Housing 2.17.6 Non Market housing units shall be provided within Policy Area 6. Non Market housing units should be provided on at least two parcels through the sale of Policy Area 6 land. Parking 2.17.7 With the exception of development where non market housing is provided, a minimum of 75% of on-site parking, not including visitor and barrier-free parking stalls, should be provided underground or within above-grade parking structures. 2.17.8 Design surface parking in order to reduce its visual impact and minimize its impact on the pedestrian realm. (b) Delete the existing Map 9 entitled Residential Policy Area 6 and replace with the revised Map 9 entitled Residential Policy Area 6 as shown in Schedule A.",Combined Meeting of Council,2021/03/22,MOTION CARRIED,14,13,1,,,,,,
"That with respect to Report CPC2021-0191, the following be approved: That Calgary Planning Commission: As the Council-designated Approving Authority, approve the proposed outline plan located at 1199 - 24 Street SW, 1200 - 26 Street SW, and 2500 Bow Trail SW (Plan 1510643, Block 2, Lot 1; Plan 574JK, Block 2, Lots A and B) to subdivide 5.36 hectares ± (13.23 acres ±) with conditions (Attachment 12); and Forward this report (CPC2021-0191) to the 2021 April 12 Combined Meeting of Council to the Public Hearing portion of the Agenda. That Calgary Planning Commission recommend that Council: Give three readings to the proposed bylaw for the amendments to the Shaganappi Point Area Redevelopment Plan (Attachment 10); Give three readings to the proposed bylaw for the redesignation of 0.88 hectares ± (2.17 acres ±) located at 2500 Bow Trail SW (Portion of Plan 574JK, Block 2, Lot A) from Direct Control District, Multi-Residential Contextual Medium Profile (M-C2f1.5d165) District, and Special Purpose School, Park and Community Reserve (S-SPR) District to Direct Control District to accommodate a variety of low-density grade-oriented residential building forms, with guidelines (Attachment 7); Give three readings to the proposed bylaw for the redesignation of 3.91 hectares ± (9.67 acres ±) located at 1199 - 24 Street SW, 1200 - 26 Street SW, and 2500 Bow Trail SW (Plan 1510643, Block 2, Lot 1; Portion of Plan 574JK, Block 2, Lots A and B) from Direct Control District, Multi-Residential Contextual Medium Profile (M-C2f1.5d140) District, Multi-Residential Contextual Medium Profile (M-C2f1.5d165) District, and Special Purpose School, Park and Community Reserve (S-SPR) District to Special Purpose City and Regional Infrastructure (S-CRI) District, Special Purpose School Park and Community Reserve (S-SPR) District, and Direct Control District to accommodate a variety of medium-density grade-oriented residential building forms, with guidelines (Attachment 8); and Give three readings to the proposed bylaw for the redesignation of 0.57 hectares ± (1.40 acres ±) located at 2500 Bow Trail SW (Portion of Plan 574JK, Block 2, Lot A) from Direct Control District, Multi-Residential Contextual Medium Profile (M-C2f1.5d140) District, and Special Purpose School, Park and Community Reserve (S-SPR) District to Direct Control District to accommodate mid-rise multi-residential development, with guidelines (Attachment 9).",Calgary Planning Commission,2021/03/18,MOTION CARRIED,8,6,2,,,,,,
"That with respect to Report CPC2023-0996, the following be approved: That Calgary Planning Commission: 1. As the Council-designated Approving Authority, approve the proposed Outline Plan located at 13818 and 13920 15 Street NE (Portion of NW1/4 Section 36-25-1-5; Plan 6268FT, OT) to subdivide 24.23 hectares ± (59.87 acres ±) with conditions (Attachment 2). That Calgary Planning Commission recommend that Council: 2. Give three readings to the proposed bylaw for the amendments to the Municipal Development Plan (Attachment 3); 3. Give three readings to the proposed bylaw for the amendments to the Keystone Hills Area Structure Plan (Attachment 4); and 4. Give three readings to the proposed bylaw for the redesignation of 24.23 hectares± (59.87 acres ±) located at 13818 and 13920 15 Street NE (Portion of NW1/4 Section 36-25-1-5; Plan 6268FT, OT) from Industrial Business (I-Bf0.50h20) District and Industrial-Commercial (I-C) District to Residential Low Density Mixed Housing (R-G) District; Residential Low Density Mixed Housing (R-Gm) District; Multi-Residential Medium Profile (M-2) District; and Special Purpose School, Park, and Community Reserve (S-SPR) District.",Calgary Planning Commission,2023/09/21,MOTION CARRIED,7,7,0,,,,,,
"That with respect to Revised Report CPC2024-0545, the following be approved, as amended: That Calgary Planning Commission: 1. As the Council-designated approving authority, approve the proposed outline plan located at 156 Rivercrest Crescent SE, 2437, 2505, 2509, 2513, 2517, 2521, 2525, 2529 and 2533 83 Avenue SE, 2508, 2512, 2516, 2520, 2524, 2528 and 2532 84 Avenue SE, 2501, 2502, 2509, 2513, 2517, 2521, 2525, 2529 and 2533 84 Avenue SE, 2506, 2510, 2514, 2518, 2522 and 2534 85 Avenue SE, 2515 and 2527 85 Avenue SE, 2612, 2620 and 2636 86 Avenue SE, 8301, 8307, 8309, 8311, 8315 and 8319 24 Street SE, 8401, 8411, 8417, 8841 and 8993 24 Street SE, Plan 7700AN, Block 25, Lots 23 and 24; Plan 7700AN, Block 25, Lots 19 to 22; Plan 375AM, Block 28, Lots 29 to 46; Plan 375AM, Block 28, Lots 11 to 28; Plan 375AM, Block 33, Lots 29 to 46; Plan 375AM, Block 33, Lots 11 to 28; Plan 375AM, Block 34, Lots 29 to 42; Plan 375AM, Block 34, Lots 11 to 28; Plan 375AM, Block 28, Lots 1 to 10; Plan 375AM, Block 33, Lots 1 to 10; Plan 9112315, Block 3, Lot 29PUL; Plan 9111367, Block 1, Lot 41PUL) to subdivide 5.66 hectares ± (14.01 acres ±), with conditions (Amended Attachment 3). That Calgary Planning Commission recommend that Council: 2. Give three readings to the proposed bylaw for the proposed closure of 2.26 hectares ± (5.60 acres ±) of road (Plan 2311773, Area A and Area B) west of 24 Street SE and south of Glenmore Trail SE, with conditions (Attachment 4); 3. Give three readings to the proposed bylaw for the amendments to the Millican-Ogden Area Redevelopment Plan (Attachment 5); and 4. Give three readings to the proposed bylaw for the redesignation of 5.66 hectares ± (13.99 acres ±) located at 156 Rivercrest Crescent SE, 2437, 2505, 2509, 2513, 2517, 2521, 2525, 2529 and 2533 83 Avenue SE, 2508, 2512, 2516, 2520, 2524, 2528 and 2532 84 Avenue SE, 2501, 2502, 2509, 2513, 2517, 2521, 2525, 2529 and 2533 84 Avenue SE, 2506, 2510, 2514, 2518, 2522 and 2534 85 Avenue SE, 2515 and 2527 85 Avenue SE, 2612, 2620 and 2636 86 Avenue SE, 8301, 8307, 8309, 8311, 8315 and 8319 24 Street SE, 8401, 8411, 8417, 8841 and 8993 24 Street SE and the closed road (Plan 7700AN, Block 25, Lots 23 and 24; Plan 7700AN, Block 25, Lots 19 to 22; Plan 375AM, Block 28, Lots 29 to 46; Plan 375AM, Block 28, Lots 11 to 28; Plan 375AM, Block 33, Lots 29 to 46; Plan 375AM, Block 33, Lots 11 to 28; Plan 375AM, Block 34, Lots 29 to 42; Plan 375AM, Block 34, Lots 11 to 28; Plan 375AM, Block 28, Lots 1 to 10; Plan 375AM, Block 33, Lots 1 to 10; Plan 9112315, Block 3, Lot 29PUL; Plan 9111367, Block 1, Lot 41PUL; Plan 2311773, Area A and Area B) from Residential Contextual One Dwelling (R-C1) District, Residential Contextual One / Two Dwelling (R-C2) District, Multi-Residential Contextual Grade-Oriented (M-CGd44) District, Multi-Residential Contextual Grade-Oriented (M-CGd50) District and Undesignated Road Right-of-Way to Residential Grade-Oriented Infill (R-CG) District, Mixed Use General (MU-1f2.0h16) District, Mixed Use General (MU-1f2.0h22) District, Mixed Use General (MU-1f2.5h22) District, Special Purpose City and Regional Infrastructure (S-CRI) District and Special Purpose School, Park and Community Reserve (S-SPR) District.",Calgary Planning Commission,2024/05/23,MOTION CARRIED,7,7,0,,,,,,
"That with respect to Report CPC2021-0444, the following be approved: That Calgary Planning Commission: As the Council-designated Approving Authority, approve the proposed outline plan located at 9620, 9720, 9723, 9771, 9830, 9845, 9860 and 9930 44 Avenue NW, 9723, 9819, 9861, 9980, 10034 and 10037 46 Avenue NW, 9620, 9623, 9723, 9730, 9875 and 10025 47 Avenue NW and the closed road (Plan 8167GK, Lots 3, 4, 7 to 11, 14 to 18 and 21 to 27; Plan 5565AH, Lot 57; Plan 8310052, Lot 1; Plan 8310053, Block RW, Lot 24; Plan 2110547, Area 'A') to subdivide 26.15 hectares ± (64.62 acres ±), with conditions (Attachment 13); and Forward this report (CPC2021-0444) to the 2021 May 10 Combined Meeting of Council to the Public Hearing portion of the Agenda. That Calgary Planning Commission recommend that Council: Give three readings to the proposed bylaw for the amendment to the Bowness Area Redevelopment Plan (Attachment 6); Give three readings to the proposed closure of 4.46 hectares ± (11.02 acres ±) of roads and lanes (Plan 8167GK, Plan 2110547, Area 'A') adjacent to Bowfort Road NW, 44 Avenue NW, 46 Avenue NW, 47 Avenue NW and Stoney Trail NW, with conditions (Attachment 11); Give three readings to the proposed bylaw for the redesignation of 17.64 hectares ± (43.58 acres ±) located at 9620, 9720, 9723, 9771, 9830, 9845, 9860, 9930 and 10035 44 Avenue NW, 9723, 9819, 9980, 10034 and 10037 46 Avenue NW, and 9620, 9623, 9723, 9730, 9875 and 10025 47 Avenue NW and the closed road (Portion of Plan 5565AH, Block 57; Portion of Plan 8167GK, Lots 3, 4, 7 to 11, 14 to 18 and 21 to 27; Plan 8310052, Lot 1; Plan 8310053, Block RW, Lot 24; Portion of Plan 2110547, Area 'A') from Residential Contextual One Dwelling (R-C1) District, Residential Contextual One / Two Dwelling (R-C2) District, Special Purpose Future Urban Development (S-FUD) District, Special Purpose School, Park and Community Reserve (S-SPR) District, Direct Control District and Undesignated Road Right-of-Way to Special Purpose City and Regional Infrastructure (S-CRI) District, Special Purpose School, Park and Community Reserve (S-SPR) District, Special Purpose Urban Nature (S-UN) District and Direct Control District to accommodate low-density residential development, open space and utilities, with guidelines (Attachment 7); Give three readings to the proposed bylaw for the redesignation of 2.86 hectares ± (7.06 acres ±) located at 9723, 9819, 9861, 9980 and 10034 46 Avenue NW (Portion of Plan 8167GK, Lots 9, 15, 16, 17 and 24; Portion of Plan 8310053, Block RW, Lot 24; Portion of Plan 2110547, Area 'A') from Residential Contextual One Dwelling (R-C1) District, Special Purpose Future Urban Development (S-FUD) District, Special Purpose School, Park and Community Reserve (S-SPR) District and Undesignated Road Right-of-Way to Direct Control District to accommodate rowhouses facing park space, with guidelines (Attachment 8); and Give three readings to the proposed bylaw for the redesignation of 5.65 hectares ± (13.97 acres ±) located at 9723 and 9771 44 Avenue NW, 9980 and 10034 46 Avenue NW, and 9620, 9623, 9723, 9730 and 10025 47 Avenue NW and the closed road (Portion of Plan 5565AH, Block 57; Portion of Plan 8167GK, Lots 3, 4, 7, 8, 9, 10, 11, 14, 18, 26 and 27; Portion of Plan 8310053, Block RW, Lot 24; Portion of Plan 2110547, Area 'A') from Direct Control District, Multi-Residential Contextual Medium Profile (M-C2) District, Residential Contextual One Dwelling (R-C1) District, Residential Contextual One / Two Dwelling (R-C2) District, Special Purpose Future Urban Development (S-FUD), Special Purpose School, Park and Community Reserve (S-SPR) District and Undesignated Road Right-of-Way to Multi-Residential Medium Profile (M-2) District and Direct Control District to accommodate multi-residential development with increased height and density, with guidelines (Attachment 9).",Calgary Planning Commission,2021/04/08,MOTION CARRIED,6,6,0,,,,,,
"That with respect to the Revised Notice of Motion EC2022-0359, the following be adopted: NOW THEREFORE BE IT RESOLVED that Real Estate and Development Services be directed to: Enter into direct negotiations with the Developer regarding a potential sale of the City Property, in alignment with any of the three options identified above, and in pursuit of achieving the aforementioned goals of affordable housing, Green Line interim construction, creation of a new mobility connection between the future LRT Station and the Elbow River pathway, and construction of a high-quality transit-oriented development; and Report back to Council through the Infrastructure and Planning Committee if a negotiated agreement is reached.",Combined Meeting of Council,2022/03/29,MOTION CARRIED,26,18,8,,,,,,
"That with respect to Report CPC2022-0338, the following be approved, after amendment: That Calgary Planning Commission: 1. As the Council-designated approving authority, approve the proposed outline plan located at 18800 52 Street SE, 19605 72 Street SE and 19511 72 Street SE (Plan 1812267, Block1, Lot 1; NE1/4 Section 15-22-29-4; and Plan 1911701, Block A), to subdivide 83.40 hectares (206.08 acres), with conditions (Revised Attachment 2). That Calgary Planning Commission recommend that Council: 2. Give three readings to the proposed bylaw for the redesignation of 83.25 hectares (205.70 acres) located at 18800 52 Street SE and 19605 72 Street SE (Plan 1812267, Block1, Lot 1; NE1/4 Section 15-22-29-4) from Special Purpose Future Urban Development (S-FUD) District to Residential Low Density Mixed Housing (R-G) District, Residential Low Density Mixed Housing (R-Gm) District, Multi-Residential Low Profile (M-1) District, Multi-Residential Medium Profile (M-2) District, Commercial Neighbourhood 1 (C-N1) District, Commercial Neighbourhood 2 (C-N2) District, Mixed Use - General (MU-1f2.5h26) District, Mixed Use - General (MU-1f2.0h22) District, Special Purpose School, Park and Community Reserve (S-SPR) District, and Special Purpose City and Regional Infrastructure (S-CRI) District.",Calgary Planning Commission,2022/03/24,MOTION CARRIED,16,16,0,,,,,,
"That with respect to Report CPC2022-0338, the following be adopted: That Council give three readings to Proposed Bylaw 72D2022 for the redesignation of 83.25 hectares (205.70 acres) located at 18800 52 Street SE and 19605 72 Street SE (Plan 1812267, Block1, Lot 1; NE1/4 Section 15-22-29-4) from Special Purpose Future Urban Development (S-FUD) District to Residential Low Density Mixed Housing (R-G) District, Residential Low Density Mixed Housing (R-Gm) District, Multi-Residential Low Profile (M-1) District, Multi-Residential Medium Profile (M-2) District, Commercial Neighbourhood 1 (C-N1) District, Commercial Neighbourhood 2 (C-N2) District, Mixed Use - General (MU-1f2.5h26) District, Mixed Use - General (MU-1f2.0h22) District, Special Purpose School, Park and Community Reserve (S-SPR) District, and Special Purpose City and Regional Infrastructure (S-CRI) District.",Combined Meeting of Council,2022/05/10,MOTION CARRIED,15,15,0,,,,,,
"That with respect to Report IP2023-0368, the following be adopted: That Council: Approve the one-time operating budget transfer of $5.3 million in 2023 to the Public Transit Service from the Fiscal Stability and Operating Budget Savings Account Merged Reserve for immediate safety and infrastructure improvements as set out in Table 2 of Attachment 3.",Regular Meeting of Council,2023/06/06,MOTION CARRIED,15,11,4,,,,,,
"That with respect to Report CPC2022-0573, the following be adopted: That Council give three readings to Proposed Bylaw 103D2022 for the redesignation of 16.78 hectares ± (41.46 acres ±) located at 1203 Spruce Meadows Trail SW and 18111 Sheriff King Street SW (Plan 8510369, Portion of Area H; Plan 8211167, Portion of Utility Corridor) from Residential One Dwelling (R-1s) District, Residential Low Density Mixed Housing (R-G) District, Multi-Residential At Grade Housing (M-G) District, Multi-Residential Medium Profile (M-2) District and Special Purpose School, Park and Community Reserve (S-SPR) District to Residential Low Density Mixed Housing (R-G) District, Residential Low Density Mixed Housing (R-Gm) District, Special Purpose City and Regional Infrastructure (S-CRI) District, and Special Purpose School, Park and Community Reserve (S-SPR) District.",Combined Meeting of Council,2022/07/05,MOTION CARRIED,15,15,0,,,,,,
"That with respect to Report CPC2022-1054, the following be adopted: That Council give three readings to Proposed Bylaw 164D2022 for the redesignation of 54.15 hectares ± (133.81 acres ±) located at 14900 6 Street NE and 800 144 Avenue NE (Portion of SW1/4 Section 2-26-1-5; Portion of Section 2-26-1-5, Legal Subdivisions 3 and 4) from Special Purpose Future Urban Development (S-FUD) District to Residential Low Density Mixed Housing (R-G) District, Residential Low Density Mixed Housing (R-Gm) District, Commercial Neighbourhood 2 (C-N2) District, Multi-Residential Medium Profile (M-2) District, Special Purpose School, Park and Community Reserve (S-SPR) District, Special Purpose City and Regional Infrastructure (S-CRI) District and Special Purpose Urban Nature (S-UN) District.",Combined Meeting of Council,2022/11/01,MOTION CARRIED,15,15,0,,,,,,
"That with respect to Notice of Motion EC2022-0638, the following be adopted: NOW THEREFORE BE IT RESOLVED That Council direct Administration to: Return to Council during the 2023-2026 budget discussions with a workplan and budget request to support the work for a report to Council by 2023 Q3 considering: The development of a Housing and Affordability Task Force, that would report to Council with advice and policy recommendations relating to increasing, measuring, and managing Housing Affordability and Affordable Housing along the entire housing continuum, including a survey/review of existing programs, policies, and solutions both locally and in other relevant jurisdictions; An exploration of models for the creation of a Housing Security Commission to work in collaboration with The City, supportive housing providers, non-market housing providers, Calgary Housing Company, attainable homeownership providers, emergency shelters, the provincial and federal governments, to increase equitable outcomes for Calgarians seeking safe, affordable, and supportive housing; and Address these considerations as a part of the refreshed Corporate Affordable Housing Strategy. Report back to Council by 2023 Q1 with: A review of all City-owned parcels to ensure broad consideration for the Non-Market Land Sale, and modification of relevant corporate policies and practices, including the Non-Market Land Sale Policy, to ensure The City can capitalize on and leverage the Federal 2022 Budget commitments to Housing; and to better position The City to support the creation of more Affordable Housing; and Strategies to support non-profit and private sector efforts to better leverage the National Housing Strategy/Canada Mortgage and Housing Corporation affordable housing and missing middle programs.",Combined Meeting of Council,2022/06/07,MOTION CARRIED,15,12,3,,,,,,
